Source,Target,Type,Label,Weight,source type,edge label,target type
Isabella Linton,Schwester,Undirected,,1,Figur,verkörpert,Rolle
Hareton Earnshaw,Letzer,Undirected,,1,Figur,verkörpert,Rolle
Catherine,Letzte,Undirected,,1,Figur,verkörpert,Rolle
Hareton Earnshaw,Vogel,Undirected,,1,Figur,verkörpert,Rolle
Hareton Earnshaw,Junge,Undirected,,1,Figur,verkörpert,Rolle
Mrs. Dean,Frau,Undirected,,1,Figur,verkörpert,Rolle
Hindley Earnshaw,Vater,Undirected,,1,Figur,verkörpert,Rolle
Catherine,Kind,Undirected,,1,Figur,verkörpert,Rolle
Hindley,Kind,Undirected,,1,Figur,verkörpert,Rolle
Mrs. Earnshaw,Frau,Undirected,,1,Figur,verkörpert,Rolle
Hindsley,Kind,Undirected,,1,Figur,verkörpert,Rolle
Mrs. Earnshaw,Herrin,Undirected,,1,Figur,verkörpert,Rolle
Catherine,Zuschauer,Undirected,,1,Figur,verkörpert,Rolle
Hindsley,Zuschauer,Undirected,,1,Figur,verkörpert,Rolle
Hindsley,Junge,Undirected,,1,Figur,verkörpert,Rolle
Heathcliff,Sohn,Undirected,,1,Figur,verkörpert,Rolle
Heathcliff,Kind,Undirected,,1,Figur,verkörpert,Rolle
Catherine,Hätschelkind,Undirected,,1,Figur,verkörpert,Rolle
Mr. Earnshaw,Unterdrücker,Undirected,,1,Figur,verkörpert,Rolle
Mrs. Dean,Pflegerin,Undirected,,1,Figur,verkörpert,Rolle
Hindsley,Bruder,Undirected,,1,Figur,verkörpert,Rolle
Hindsley,Lamm,Undirected,,1,Figur,verkörpert,Rolle
Mr. Earnshaw,Wohltäter,Undirected,,1,Figur,verkörpert,Rolle
Mr. Earnshaw,Mann,Undirected,,1,Figur,verkörpert,Rolle
Vikar,Mann,Undirected,,1,Figur,verkörpert,Rolle
Joseph,Pharisäer,Undirected,,1,Figur,verkörpert,Rolle
Hindsley,Verworfener,Undirected,,1,Figur,verkörpert,Rolle
Catherine,Mädchen,Undirected,,1,Figur,verkörpert,Rolle
Catherine,Schößling,Undirected,,1,Figur,verkörpert,Rolle
Catherine,Herrin,Undirected,,1,Figur,verkörpert,Rolle
Mrs. Earnshaw,Mutter,Undirected,,1,Figur,verkörpert,Rolle
Fances,Frau,Undirected,,1,Figur,verkörpert,Rolle
Frances,Mensch,Undirected,,1,Figur,verkörpert,Rolle
Frances,Frau,Undirected,,1,Figur,verkörpert,Rolle
Catherine,Wilde,Undirected,,1,Figur,verkörpert,Rolle
Hindsley,Herr,Undirected,,1,Figur,verkörpert,Rolle
Catherine,Geschöpf,Undirected,,1,Figur,verkörpert,Rolle
Isabella Linton,Kind,Undirected,,1,Figur,verkörpert,Rolle
Edgar Linton,Kind,Undirected,,1,Figur,verkörpert,Rolle
Edgar Linton,Dummkopf,Undirected,,1,Figur,verkörpert,Rolle
Isabella Linton,Dummkopf,Undirected,,1,Figur,verkörpert,Rolle
Mrs. Linton,Mama,Undirected,,1,Figur,verkörpert,Rolle
Mr. Linton,Papa,Undirected,,1,Figur,verkörpert,Rolle
Mr. Linton,Herr,Undirected,,1,Figur,verkörpert,Rolle
Robert,Knecht,Undirected,,1,Figur,verkörpert,Rolle
Mr. Linton,Narr,Undirected,,1,Figur,verkörpert,Rolle
Mrs. Linton,Dame,Undirected,,1,Figur,verkörpert,Rolle
