Source,Target,Type,Label,Weight,source type,target type,gender
Wilke,Briestsche,Undirected,,1,Figur,Genderrolle,Mann
Wilke,Haus,Undirected,,1,Figur,Genderrolle,Mann
Geert Instetten,Herr,Undirected,,1,Figur,Genderrolle,Mann
Frauen,Frauen,Undirected,,1,Figur,Genderrolle,Frau
Kandidat Holzapfel,Kandidat,Undirected,,1,Figur,Genderrolle,Mann
Kandidat Holzapfel,Holzapfel,Undirected,,1,Figur,Genderrolle,Mann
Effi Briest,Schiffsjunge,Undirected,,1,Figur,Genderrolle,Mann
Effi Briest,Midshipman,Undirected,,1,Figur,Genderrolle,Mann
Kantor Jahnke,Jahnke,Undirected,,1,Figur,Genderrolle,Mann
Belling,Bellingschen,Undirected,,1,Figur,Genderrolle,Genderneutral
Hulda Niemeyer,Pastorskind,Undirected,,1,Figur,Genderrolle,Genderneutral
Dagobert Briest,Vetter,Undirected,,1,Figur,Genderrolle,Mann
Dagobert Briest,Briest,Undirected,,1,Figur,Genderrolle,Mann
Dagobert Briest,Kadett,Undirected,,1,Figur,Genderrolle,Mann
Fürsten,Fürsten,Undirected,,1,Figur,Genderrolle,Mann
Hertha Jahnke,Freundinnen,Undirected,,1,Figur,Genderrolle,Frau
Hulda Niemeyer,Freundinnen,Undirected,,1,Figur,Genderrolle,Frau
Bertha Jahnke,Freundinnen,Undirected,,1,Figur,Genderrolle,Frau
Bertha Jahnke,Verfolger,Undirected,,1,Figur,Genderrolle,Mann
Hulda Niemeyer,Besuch,Undirected,,1,Figur,Genderrolle,Genderneutral
Hertha Jahnke,Besuch,Undirected,,1,Figur,Genderrolle,Genderneutral
Geert Instetten,Besuch,Undirected,,1,Figur,Genderrolle,Genderneutral
Hertha Jahnke,Zwillingen,Undirected,,1,Figur,Genderrolle,Genderneutral
Bertha Jahnke,Zwillingen,Undirected,,1,Figur,Genderrolle,Genderneutral
Kavaliere,Kavaliere,Undirected,,1,Figur,Genderrolle,Mann
Aschenputtel,Aschenputtel,Undirected,,1,Figur,Genderrolle,Frau
Prinzessin,Prinzessin,Undirected,,1,Figur,Genderrolle,Frau
Effi Briest,Geschöpf,Undirected,,1,Figur,Genderrolle,Genderneutral
Effi Briest,Kindes,Undirected,,1,Figur,Genderrolle,Genderneutral
Geert Instetten,Mann,Undirected,,1,Figur,Genderrolle,Mann
Herr Briest,Vaters,Undirected,,1,Figur,Genderrolle,Mann
Herr Briest,Ritterschaftsrat,Undirected,,1,Figur,Genderrolle,Mann
Herr Briest,von,Undirected,,1,Figur,Genderrolle,Mann
Herr Briest,Briest,Undirected,,1,Figur,Genderrolle,Mann
Bertha Jahnke,Schwestern,Undirected,,1,Figur,Genderrolle,Frau
Hertha Jahnke,Schwestern,Undirected,,1,Figur,Genderrolle,Frau
Herr Briest,Brautvater,Undirected,,1,Figur,Genderrolle,Mann
Geert Instetten; Effi Briest,Paar,Undirected,,1,Figur,Genderrolle,Genderneutral
Familien,Familien,Undirected,,1,Figur,Genderrolle,Genderneutral
Person,Person,Undirected,,1,Figur,Genderrolle,Genderneutral
Kinder,Kinder,Undirected,,1,Figur,Genderrolle,Genderneutral
Familie Instetten,Innstetten,Undirected,,1,Figur,Genderrolle,Genderneutral
Geert Instetten,Brautpaar,Undirected,,1,Figur,Genderrolle,Genderneutral
Effi Briest,Brautpaar,Undirected,,1,Figur,Genderrolle,Genderneutral
Luise Briest,Luise,Undirected,,1,Figur,Genderrolle,Frau
Pastor Niemeyer,Pastors,Undirected,,1,Figur,Genderrolle,Genderneutral
Frau Pastorin Niemeyer,Frau,Undirected,,1,Figur,Genderrolle,Frau
Frau Pastorin Niemeyer,Pastorin,Undirected,,1,Figur,Genderrolle,Frau
Pastor Niemeyer,Niemeyer,Undirected,,1,Figur,Genderrolle,Mann
Frau Pastorin Niemeyer,Wirtschafterin,Undirected,,1,Figur,Genderrolle,Frau
Familie Niemeyer,Pastors,Undirected,,1,Figur,Genderrolle,Genderneutral
Familie Jahnke,Kantor,Undirected,,1,Figur,Genderrolle,Mann
Familie Jahnke,Jahnkes,Undirected,,1,Figur,Genderrolle,Mann
Jeder,Jeder,Undirected,,1,Figur,Genderrolle,Mann
Richtige,Richtige,Undirected,,1,Figur,Genderrolle,Mann
Herr Briest,Schwiegervater,Undirected,,1,Figur,Genderrolle,Mann
Geert Instetten,Schwiegersohn,Undirected,,1,Figur,Genderrolle,Mann
Vorgesetzte,Vorgesetzte,Undirected,,1,Figur,Genderrolle,Mann
Gertrud,Gertrud,Undirected,,1,Figur,Genderrolle,Frau
Klara,Klara,Undirected,,1,Figur,Genderrolle,Frau
Freundinnen,Freundinnen,Undirected,,1,Figur,Genderrolle,Frau
Effi Briest,Prinzessin,Undirected,,1,Figur,Genderrolle,Frau
Dagobert Briest,Leutnant,Undirected,,1,Figur,Genderrolle,Mann
Effi Briest,Damen,Undirected,,1,Figur,Genderrolle,Frau
Luise Briest,Damen,Undirected,,1,Figur,Genderrolle,Frau
Dagobert Briest,Dagobert,Undirected,,1,Figur,Genderrolle,Mann
Jungfern,Jungfern,Undirected,,1,Figur,Genderrolle,Frau
Effi Briest,Cousine,Undirected,,1,Figur,Genderrolle,Frau
Luise Briest,Tante,Undirected,,1,Figur,Genderrolle,Frau
Effi Briest,Kinde,Undirected,,1,Figur,Genderrolle,Genderneutral
Friedrich Karl,Friedrich,Undirected,,1,Figur,Genderrolle,Mann
Friedrich Karl,Karl,Undirected,,1,Figur,Genderrolle,Mann
Tante Therese,Tante,Undirected,,1,Figur,Genderrolle,Frau
Tante Therese,Therese,Undirected,,1,Figur,Genderrolle,Frau
Effi Briest,Liebling,Undirected,,1,Figur,Genderrolle,Genderneutral
Alexanderoffizier,Alexanderoffizieren,Undirected,,1,Figur,Genderrolle,Mann
Dienstmann,Dienstmann,Undirected,,1,Figur,Genderrolle,Mann
Mausefallenhändler,Mausefallenhändler,Undirected,,1,Figur,Genderrolle,Mann
Kameraden,Kameraden,Undirected,,1,Figur,Genderrolle,Mann
Dagobert Briest,Tänzer,Undirected,,1,Figur,Genderrolle,Mann
Inspektor Pink,Inspektor,Undirected,,1,Figur,Genderrolle,Mann
Inspektor Pink,Pink,Undirected,,1,Figur,Genderrolle,Mann
Gärtnersfrau,Gärtnersfrau,Undirected,,1,Figur,Genderrolle,Frau
Inspektor Pink,Mann,Undirected,,1,Figur,Genderrolle,Mann
Hulda Niemeyer,Käthchen,Undirected,,1,Figur,Genderrolle,Frau
