Source,Target,Type,Label,Weight,source type,target type,gender
Kinder,Kinder,Undirected,,1,Figur,Rolle,Genderneutral
eine Frau,Frau,Undirected,,1,Figur,Rolle,Frau
Frauen,Frauen,Undirected,,1,Figur,Rolle,Frau
Obsthändler,Obsthändler,Undirected,,1,Figur,Rolle,Mann
Untersuchungsrichter,Untersuchungsrichter,Undirected,,1,Figur,Rolle,Mann
Jungen,Jungen,Undirected,,1,Figur,Rolle,Mann
ein Mädchen,Mädchen,Undirected,,1,Figur,Rolle,Frau
Säuglinge,Säuglinge,Undirected,,1,Figur,Rolle,Genderneutral
Halbwüchsige,Halbwüchsige,Undirected,,1,Figur,Rolle,Genderneutral
Kranke,Kranke,Undirected,,1,Figur,Rolle,Genderneutral
Schlafende,Schlafende,Undirected,,1,Figur,Rolle,Genderneutral
Tischler,Tischler,Undirected,,1,Figur,Rolle,Mann
Tischler Lanz,Lanz,Undirected,,1,Figur,Rolle,Mann
Nachbarn,Nachbarn,Undirected,,1,Figur,Rolle,Genderneutral
Tischler Lanz,Mann,Undirected,,1,Figur,Rolle,Mann
Arbeiter,Arbeiter,Undirected,,1,Figur,Rolle,Mann
Frau des Gerichtsdieners,Frau,Undirected,,1,Figur,Rolle,Frau
Gedränge,Gedränge,Undirected,,1,Figur,Rolle,Genderneutral
ein Junge,Junge,Undirected,,1,Figur,Rolle,Mann
Josef K.,Zimmermaler,Undirected,,1,Figur,Rolle,Mann
Josef K.,Prokurist,Undirected,,1,Figur,Rolle,Mann
Leute,Partei,Undirected,,1,Figur,Rolle,Genderneutral
Galeriebesucher,Galerie,Undirected,,1,Figur,Rolle,Genderneutral
Frau des Gerichtsdieners,Wäscherin,Undirected,,1,Figur,Rolle,Frau
die Entscheidenden,Entscheidende,Undirected,,1,Figur,Rolle,Genderneutral
Allgemeinheit,Allgemeinheit,Undirected,,1,Figur,Rolle,Genderneutral
Willem und Franz,Gesindel,Undirected,,1,Figur,Rolle,Genderneutral
Fräulein Bürstner,Dame,Undirected,,1,Figur,Rolle,Frau
"Rabensteiner, Kullich und Kaminer",Angestellte,Undirected,,1,Figur,Rolle,Genderneutral
Anna,Dienstmädchen,Undirected,,1,Figur,Rolle,Frau
Frau Grubach,Person,Undirected,,1,Figur,Rolle,Genderneutral
Menge,Menge,Undirected,,1,Figur,Rolle,Genderneutral
Untersuchungsrichter,Herr Untersuchungsrichter,Undirected,,1,Figur,Rolle,Mann
Galeriebesucher,Galeriebesucher,Undirected,,1,Figur,Rolle,Genderneutral
Versammlung,Versammlungsteilnehmer,Undirected,,1,Figur,Rolle,Genderneutral
Ratgeber des Untersuchungsrichters,Mann,Undirected,,1,Figur,Rolle,Mann
Ratgeber des Untersuchungsrichters,Ratgeber,Undirected,,1,Figur,Rolle,Mann
Organisation,Organisation,Undirected,,1,Figur,Rolle,Genderneutral
Richterschaft,Richterschaft,Undirected,,1,Figur,Rolle,Genderneutral
Schreiber,Schreiber,Undirected,,1,Figur,Rolle,Genderneutral
Gendarme,Gendarme,Undirected,,1,Figur,Rolle,Genderneutral
Hilfskräfte,Hilfskräfte,Undirected,,1,Figur,Rolle,Genderneutral
Henker,Henker,Undirected,,1,Figur,Rolle,Genderneutral
Männer,Herren,Undirected,,1,Figur,Rolle,Mann
Richter,Richter,Undirected,,1,Figur,Rolle,Mann
Josef K.,Verhafteter,Undirected,,1,Figur,Rolle,Mann
Unschuldige,Unschuldige,Undirected,,1,Figur,Rolle,Genderneutral
Verhaftete,Verhaftete,Undirected,,1,Figur,Rolle,Genderneutral
Depotbeamte,Depotbeamte,Undirected,,1,Figur,Rolle,Genderneutral
Frau des Gerichtsdieners und Berthold,Paar,Undirected,,1,Figur,Rolle,Genderneutral
alte Männer,alte Männer,Undirected,,1,Figur,Rolle,Mann
Versammlung,Bande,Undirected,,1,Figur,Rolle,Genderneutral
