Source,Target,Type,Label,Weight,source type,target type,gender
Louis,Kind,Undirected,,1,Figur,Rolle,Genderneutral
Werther,Herr Vetter,Undirected,,1,Figur,Rolle,Mann
Louis,Knabe,Undirected,,1,Figur,Rolle,Mann
Werther,Vetter,Undirected,,1,Figur,Rolle,Mann
Sophie,Schwester,Undirected,,1,Figur,Rolle,Frau
Sophie,Mädchen,Undirected,,1,Figur,Rolle,Frau
Vater von Lotte,Papa,Undirected,,1,Figur,Rolle,Mann
Ein Kutscher,Kutscher,Undirected,,1,Figur,Rolle,Mann
Miß Molly,Miß,Undirected,,1,Figur,Rolle,Frau
Landpriester von Wakefield,Autor,Undirected,,1,Figur,Rolle,Mann
Werther,Träumender,Undirected,,1,Figur,Rolle,Mann
Audran,Herr,Undirected,,1,Figur,Rolle,Mann
N.N.,Herr,Undirected,,1,Figur,Rolle,Mann
Audran,Tänzer,Undirected,,1,Figur,Rolle,Mann
N.N.,Tänzer,Undirected,,1,Figur,Rolle,Mann
Ein unbedeutendes Mädchen,Dame,Undirected,,1,Figur,Rolle,Frau
Eine Frau,Frau,Undirected,,1,Figur,Rolle,Frau
Albert,Mensch,Undirected,,1,Figur,Rolle,Genderneutral
Mehrere Frauenzimmer,Schwesterchen,Undirected,,1,Figur,Rolle,Frau
Die Herren,Schlucker,Undirected,,1,Figur,Rolle,Mann
Mehrere Frauenzimmer,Bedrängte,Undirected,,1,Figur,Rolle,Frau
Lotte,Furchtsame,Undirected,,1,Figur,Rolle,Frau
Werther,Edler,Undirected,,1,Figur,Rolle,Mann
Der Medikus,Doktor,Undirected,,1,Figur,Rolle,Mann
Der Medikus,Drahtpuppe,Undirected,,1,Figur,Rolle,Genderneutral
Frau M.,Frau,Undirected,,1,Figur,Rolle,Frau
Frau M.,Kranke,Undirected,,1,Figur,Rolle,Genderneutral
Der Pfarrer von St.,Pfarrer,Undirected,,1,Figur,Rolle,Mann
Ein alter Mann,Mann,Undirected,,1,Figur,Rolle,Mann
Sohn des alten Mannes,Bube,Undirected,,1,Figur,Rolle,Mann
Sohn des alten Mannes,Quakelchen,Undirected,,1,Figur,Rolle,Genderneutral
Ein alter Mann,Alter,Undirected,,1,Figur,Rolle,Mann
Frau Pfarrerin,Pfarrerin,Undirected,,1,Figur,Rolle,Frau
Frau Pfarrerin,Frau,Undirected,,1,Figur,Rolle,Frau
Vater der Pfarrerin,Vorfahr,Undirected,,1,Figur,Rolle,Mann
Der Pfarrer von St.,Student,Undirected,,1,Figur,Rolle,Mann
Friederike,Tochter,Undirected,,1,Figur,Rolle,Frau
Herr Schmidt,Herr,Undirected,,1,Figur,Rolle,Mann
