Id,Label,type,gender
Spieler,Spieler,Rolle,Mann
Geschäftsmann,Geschäftsmann,Rolle,Mann
Bruder,Bruder,Rolle,Mann
Maler,Maler,Rolle,Mann
Partner,Partner,Rolle,Mann
Fürst,Fürst,Rolle,Mann
Erfahrener,Erfahrener,Rolle,Mann
Soldat,Soldat,Rolle,Mann
Sänger,Sänger,Rolle,Mann
Freunde,Freunde,Rolle,Genderneutral
Knabe,Knabe,Rolle,Mann
Äbtissin,Äbtissin,Rolle,Frau
Herzogin,Herzogin,Rolle,Frau
Unverschämter,Unverschämter,Rolle,Mann
König,König,Rolle,Mann
Bügermeister,Bügermeister,Rolle,Mann
Edelmann,Edelmann,Rolle,Mann
Neuangekommene,Neuangekommene,Rolle,Genderneutral
Junggesellen,Junggesellen,Rolle,Mann
Tropf,Tropf,Rolle,Genderneutral
Liebesleute,Liebesleute,Rolle,Genderneutral
Zuschauer,Zuschauer,Rolle,Mann
Wundergeschöpf,Wundergeschöpf,Rolle,Genderneutral
Ungeschickter,Ungeschickter,Rolle,Mann
Dummkopf,Dummkopf,Rolle,Genderneutral
Greis,Greis,Rolle,Mann
Hund,Hund,Rolle,Genderneutral
Heuchlerin,Heuchlerin,Rolle,Frau
Lügnerin,Lügnerin,Rolle,Frau
Dirne,Dirne,Rolle,Frau
Hure,Hure,Rolle,Frau
Verleumder,Verleumder,Rolle,Mann
Erpresser,Erpresser,Rolle,Mann
Knecht,Knecht,Rolle,Mann
Tote,Tote,Rolle,Frau
Dreizehnjährige,Dreizehnjährige,Rolle,Frau
Sohn,Sohn,Rolle,Mann
Kenner,Kenner,Rolle,Mann
Mathematiker,Mathematiker,Rolle,Mann
Widersacher,Widersacher,Rolle,Mann
Wissender,Wissender,Rolle,Mann
Nonnen,Nonnen,Rolle,Frau
Freundinnen,Freundinnen,Rolle,Frau
Führerin,Führerin,Rolle,Frau
