Source,Target,Type,Label,Weight,source type,target type,gender
Mutter von Jenny Treibel,Frau Bürstenbinder,Undirected,,1,Figur,Rolle,Frau
Jenny Treibel,Püppchen,Undirected,,1,Figur,Rolle,Genderneutral
Jenny Treibel,Musterstück,Undirected,,1,Figur,Rolle,Genderneutral
Jenny Treibel,Bourgeoise,Undirected,,1,Figur,Rolle,Frau
Fräulein Honig,Gesellschaftsdame,Undirected,,1,Figur,Rolle,Frau
"Jenny Treibel, Herr Treibel",Treibels,Undirected,,1,Figur,Rolle,Genderneutral
Mister Nelson,Nelson,Undirected,,1,Figur,Rolle,Mann
Corinna Schmidt,Mensch,Undirected,,1,Figur,Rolle,Genderneutral
Friedrich Distelkamp,Distelkamp,Undirected,,1,Figur,Rolle,Mann
Herr Treibel,Kommerzienrat,Undirected,,1,Figur,Rolle,Mann
Jenny Treibel,Glücklichen,Undirected,,1,Figur,Rolle,Genderneutral
Helene Treibel,Schwiegertochter,Undirected,,1,Figur,Rolle,Frau
Vogelsang,Lieutenant a. D.,Undirected,,1,Figur,Rolle,Mann
Vogelsang,Agent provocateur,Undirected,,1,Figur,Rolle,Mann
Wilibald Schmidt,Gelehrte,Undirected,,1,Figur,Rolle,Genderneutral
Vogelsang,Fanatiker,Undirected,,1,Figur,Rolle,Mann
Vogelsang,Individuum,Undirected,,1,Figur,Rolle,Genderneutral
Vogelsang,Poveretto,Undirected,,1,Figur,Rolle,Mann
"Majorin von Ziegenhals, Edwine von Bomst",Fräuleins,Undirected,,1,Figur,Rolle,Frau
Vogelsang,Kerl,Undirected,,1,Figur,Rolle,Mann
Herr Treibel,Bürger,Undirected,,1,Figur,Rolle,Mann
Herr Treibel,Patriot,Undirected,,1,Figur,Rolle,Mann
Helene Treibel,Frau,Undirected,,1,Figur,Rolle,Frau
"Otto Treibel, Helene Treibel",Kinder,Undirected,,1,Figur,Rolle,Genderneutral
Jenny Treibel,Meisterin,Undirected,,1,Figur,Rolle,Frau
Jenny Treibel,Mama,Undirected,,1,Figur,Rolle,Frau
Elisabeth,Köchin,Undirected,,1,Figur,Rolle,Frau
Mister Nelson,Mann,Undirected,,1,Figur,Rolle,Mann
Mister Nelson,Gekennzeichnete,Undirected,,1,Figur,Rolle,Mann
Mister Nelson,Menschenkind,Undirected,,1,Figur,Rolle,Genderneutral
"Jenny Treibel, Herr Treibel",Eltern,Undirected,,1,Figur,Rolle,Genderneutral
Herr Treibel,Papa,Undirected,,1,Figur,Rolle,Mann
Herr Treibel,Mister Treibel,Undirected,,1,Figur,Rolle,Mann
Mister Nelson,Junge,Undirected,,1,Figur,Rolle,Mann
Vogelsang,Torfinspektor,Undirected,,1,Figur,Rolle,Mann
Vogelsang,Salzinspektor,Undirected,,1,Figur,Rolle,Mann
Vogelsang,Offizier,Undirected,,1,Figur,Rolle,Mann
Jenny Treibel,Gnädigste,Undirected,,1,Figur,Rolle,Frau
Vogelsang,Herr Lieutenant,Undirected,,1,Figur,Rolle,Mann
"Otto Treibel, Helene Treibel",Herrschaften,Undirected,,1,Figur,Rolle,Genderneutral
Helene Treibel,Hamburgerin,Undirected,,1,Figur,Rolle,Frau
Mister Nelson,Freund,Undirected,,1,Figur,Rolle,Mann
Vogelsang,Lieutenant,Undirected,,1,Figur,Rolle,Mann
Vogelsang,Person,Undirected,,1,Figur,Rolle,Genderneutral
Johann,Kutscher,Undirected,,1,Figur,Rolle,Mann
"Majorin von Ziegenhals, Edwine von Bomst",Damen,Undirected,,1,Figur,Rolle,Frau
"Mister Nelson, Vogelsang",Fremde,Undirected,,1,Figur,Rolle,Genderneutral
"Mister Nelson, Vogelsang",Herren,Undirected,,1,Figur,Rolle,Mann
Vogelsang,Präsident des Wahlkomitees,Undirected,,1,Figur,Rolle,Mann
Majorin von Ziegenhals,Frau Majorin von Ziegenhals,Undirected,,1,Figur,Rolle,Frau
Edwine von Bomst,Fräulein Edwine von Bomst,Undirected,,1,Figur,Rolle,Frau
Majorin von Ziegenhals,Ziegenhals,Undirected,,1,Figur,Rolle,Frau
Klopstock,Dichter,Undirected,,1,Figur,Rolle,Mann
Majorin von Ziegenhals,Cousine,Undirected,,1,Figur,Rolle,Frau
Majorin von Ziegenhals,Frau Majorin,Undirected,,1,Figur,Rolle,Frau
Edwine von Bomst,Fräulein,Undirected,,1,Figur,Rolle,Frau
Edwine von Bomst,Bomst,Undirected,,1,Figur,Rolle,Frau
"Jenny Treibel, Herr Treibel",Generalkonsuls,Undirected,,1,Figur,Rolle,Genderneutral
Adolar Krola,Opernsänger,Undirected,,1,Figur,Rolle,Mann
Adolar Krola,Hausfreund,Undirected,,1,Figur,Rolle,Mann
Adolar Krola,Mann,Undirected,,1,Figur,Rolle,Mann
Jenny Treibel,Frau Jenny,Undirected,,1,Figur,Rolle,Frau
Prinzeß Anisettchen,Prinzessin,Undirected,,1,Figur,Rolle,Frau
Edwine von Bomst,Fräulein von Bomst,Undirected,,1,Figur,Rolle,Frau
Großmutter von Prinzeß Anisettchen,Großmutter,Undirected,,1,Figur,Rolle,Frau
Großmutter von Prinzeß Anisettchen,Hochselige,Undirected,,1,Figur,Rolle,Frau
Großmutter von Prinzeß Anisettchen,Engel,Undirected,,1,Figur,Rolle,Genderneutral
Jenny Treibel,Berlinerin,Undirected,,1,Figur,Rolle,Frau
