Id,Label,type,gender
Maulwerker,Maulwerker,Rolle,Mann
Spekulanten,Spekulanten,Rolle,Mann
Mittelsmänner,Mittelsmänner,Rolle,Mann
Winkelseher,Winkelseher,Rolle,Mann
Wirt,Wirt,Rolle,Mann
Wirtin,Wirtin,Rolle,Frau
Schelm,Schelm,Rolle,Mann
Narr,Narr,Rolle,Mann
Eingetretener,Eingetretener,Rolle,Mann
Liebchen,Liebchen,Rolle,Genderneutral
Schnurrenberger,Schnurrenberger,Rolle,Mann
Schwertträger,Schwertträger,Rolle,Mann
Kriegsheld,Kriegsheld,Rolle,Mann
Mädchen,Mädchen,Rolle,Frau
Freund,Freund,Rolle,Mann
Nachbarsmann,Nachbarsmann,Rolle,Mann
Hans,Hans,Rolle,Mann
Papst,Papst,Rolle,Mann
Päpstlein,Päpstlein,Rolle,Genderneutral
Eisenfresser,Eisenfresser,Rolle,Mann
Großhanse,Großhanse,Rolle,Mann
Kriegsgesellen,Kriegsgesellen,Rolle,Mann
Ei,Ei,Rolle,Genderneutral
Herrenpfaffen,Herrenpfaffen,Rolle,Mann
Zwingli,Zwingli,Rolle,Mann
Bub,Bub,Rolle,Mann
Beisitzer,Beisitzer,Rolle,Mann
kalte Wirtz von Goßau,kalte Wirtz von Goßau,Rolle,Mann
kalter Wirtz,kalter Wirtz,Rolle,Mann
Grammatikus,Grammatikus,Rolle,Mann
Magister,Magister,Rolle,Mann
Herr,Herr,Rolle,Mann
Schuster,Schuster,Rolle,Mann
Freund des Schmuckes,Freund des Schmuckes,Rolle,Mann
Herr Gott Zebaoth,Herr Gott Zebaoth,Rolle,Mann
Herrn,Herrn,Rolle,Mann
Heide,Heide,Rolle,Mann
Herrgöttlein,Herrgöttlein,Rolle,Mann
Menschlein,Menschlein,Rolle,Genderneutral
Gaukelmann,Gaukelmann,Rolle,Mann
Schneck,Schneck,Rolle,Mann
Winkelprophet,Winkelprophet,Rolle,Mann
Breitmatter,Breitmatter,Rolle,Mann
Gefolge,Gefolge,Rolle,Genderneutral
Erweckter,Erweckter,Rolle,Mann
Heiliger,Heiliger,Rolle,Mann
Hauswirt,Hauswirt,Rolle,Mann
Wirtz,Wirtz,Rolle,Mann
Gesellen,Gesellen,Rolle,Mann
Eltern,Eltern,Rolle,Genderneutral
Schalksnarren,Schalksnarren,Rolle,Genderneutral
Meister,Meister,Rolle,Mann
Spießgesell,Spießgesell,Rolle,Mann
Schlauköpfe,Schlauköpfe,Rolle,Genderneutral
Obern,Obern,Rolle,Genderneutral
Herrscher,Herrscher,Rolle,Mann
Alter,Alter,Rolle,Mann
Invalide zu Rapperswyl,Invalide zu Rapperswyl,Rolle,Mann
Mannschaft,Mannschaft,Rolle,Genderneutral
Obrigkeit,Obrigkeit,Rolle,Mann
Oberhaupt,Oberhaupt,Rolle,Mann
Ausschreitender,Ausschreitender,Rolle,Mann
Gegner der Reformation,Gegner der Reformation,Rolle,Mann
Streithähne,Streithähne,Rolle,Mann
Krieger,Krieger,Rolle,Mann
Nichtkrieger,Nichtkrieger,Rolle,Mann
Mönch,Mönch,Rolle,Mann
Papist,Papist,Rolle,Mann
Stadtsoldaten,Stadtsoldaten,Rolle,Mann
Fratzenmann,Fratzenmann,Rolle,Mann
Zunftvorsteher,Zunftvorsteher,Rolle,Mann
