Id,Label,type,gender
Darstellerin,Darstellerin,Genderrolle,Frau
Dame,Dame,Genderrolle,Frau
Verfolger,Verfolger,Genderrolle,Mann
Fremder,Fremder,Genderrolle,Mann
Verehrter,Verehrter,Genderrolle,Mann
Matrosen,Matrosen,Genderrolle,Mann
Hergekommener,Hergekommener,Genderrolle,Mann
Pieter,Pieter,Genderrolle,Mann
Laternenanzünder,Laternenanzünder,Genderrolle,Mann
Zeitungsfrau,Zeitungsfrau,Genderrolle,Frau
Handlungslehrling,Handlungslehrling,Genderrolle,Mann
Leute,Leute,Genderrolle,Genderneutral
Herr Professor U,Herr Professor U,Genderrolle,Mann
Besitzer,Besitzer,Genderrolle,Mann
Cafetier,Cafetier,Genderrolle,Mann
Hilfslehrer,Hilfslehrer,Genderrolle,Mann
Barfußtänzerin,Barfußtänzerin,Genderrolle,Frau
Oberlehrer,Oberlehrer,Genderrolle,Mann
Mitglied,Mitglied,Genderrolle,Genderneutral
Musikalienhändler,Musikalienhändler,Genderrolle,Mann
Schuhmachermeister,Schuhmachermeister,Genderrolle,Mann
Herrnhuter,Herrnhuter,Genderrolle,Mann
Geselle,Geselle,Genderrolle,Mann
Haustochter,Haustochter,Genderrolle,Frau
Kinder,Kinder,Genderrolle,Genderneutral
Mutter,Mutter,Genderrolle,Frau
Kunde,Kunde,Genderrolle,Mann
Schuhmacher,Schuhmacher,Genderrolle,Mann
Frau,Frau,Genderrolle,Frau
Meister Rindfleisch,Meister Rindfleisch,Genderrolle,Mann
Meister,Meister,Genderrolle,Mann
Missionar,Missionar,Genderrolle,Mann
Berühmtheit,Berühmtheit,Genderrolle,Genderneutral
Schuster,Schuster,Genderrolle,Mann
Tänzerin,Tänzerin,Genderrolle,Frau
Schwester,Schwester,Genderrolle,Frau
Sünderin,Sünderin,Genderrolle,Frau
Weib,Weib,Genderrolle,Frau
Herr Herre,Herr Herre,Genderrolle,Mann
Fleischessünder,Fleischessünder,Genderrolle,Genderneutral
Geister,Geister,Genderrolle,Genderneutral
Seelen,Seelen,Genderrolle,Genderneutral
Herrschende,Herrschende,Genderrolle,Genderneutral
Verbrecher,Verbrecher,Genderrolle,Mann
Wirtschafterin,Wirtschafterin,Genderrolle,Frau
Mädchen,Mädchen,Genderrolle,Frau
Elender,Elender,Genderrolle,Mann
Ausbrecher,Ausbrecher,Genderrolle,Mann
Michel,Michel,Genderrolle,Mann
Konsul,Konsul,Genderrolle,Mann
Diener,Diener,Genderrolle,Mann
junger Mann,junger Mann,Genderrolle,Mann
Strolch,Strolch,Genderrolle,Mann
Wild,Wild,Genderrolle,Genderneutral
Indianer,Indianer,Genderrolle,Mann
Arbeiter,Arbeiter,Genderrolle,Mann
Proletarier,Proletarier,Genderrolle,Mann
Wirt,Wirt,Genderrolle,Mann
Frauenperson,Frauenperson,Genderrolle,Frau
Sängerin,Sängerin,Genderrolle,Frau
Nachbar,Nachbar,Genderrolle,Mann
Deern,Deern,Genderrolle,Frau
Soldaten,Soldaten,Genderrolle,Mann
Graf,Graf,Genderrolle,Mann
etwas Neues,etwas Neues,Genderrolle,Genderneutral
Lustgreis,Lustgreis,Genderrolle,Mann
Artist,Artist,Genderrolle,Mann
Kind,Kind,Genderrolle,Genderneutral
Gewalthaber,Gewalthaber,Genderrolle,Mann
Katze,Katze,Genderrolle,Genderneutral
Pack,Pack,Genderrolle,Genderneutral
Schuljungen,Schuljungen,Genderrolle,Mann
Bengel,Bengel,Genderrolle,Mann
Allerschlimmster,Allerschlimmster,Genderrolle,Mann
Geist,Geist,Genderrolle,Genderneutral
Dicke,Dicke,Genderrolle,Genderneutral
Männeken,Männeken,Genderrolle,Mann
Jungen,Jungen,Genderrolle,Mann
Windbeutel,Windbeutel,Genderrolle,Genderneutral
Gestalten,Gestalten,Genderrolle,Genderneutral
Kleiner,Kleiner,Genderrolle,Mann
Frechmops,Frechmops,Genderrolle,Genderneutral
Kleine,Kleine,Genderrolle,Frau
Hammel,Hammel,Genderrolle,Genderneutral
Vormund,Vormund,Genderrolle,Genderneutral
Baffze,Baffze,Genderrolle,Genderneutral
Heimliche,Heimliche,Genderrolle,Genderneutral
Zuschauer,Zuschauer,Genderrolle,Mann
Person,Person,Genderrolle,Genderneutral
Junker,Junker,Genderrolle,Mann
Ekel,Ekel,Genderrolle,Genderneutral
Hundchen,Hundchen,Genderrolle,Genderneutral
Kamerad,Kamerad,Genderrolle,Mann
Hund,Hund,Genderrolle,Genderneutral
Schwächling,Schwächling,Genderrolle,Genderneutral
Kuhmagd,Kuhmagd,Genderrolle,Frau
Viehjunge,Viehjunge,Genderrolle,Mann
Dirn,Dirn,Genderrolle,Frau
Chanteuse,Chanteuse,Genderrolle,Frau
Pastor,Pastor,Genderrolle,Mann
Dora,Dora,Genderrolle,Frau
Assessor,Assessor,Genderrolle,Mann
Leutnant,Leutnant,Genderrolle,Mann
Quartaner,Quartaner,Genderrolle,Mann
Dirne,Dirne,Genderrolle,Frau
Ärmste,Ärmste,Genderrolle,Genderneutral
Kiepert,Kiepert,Figur,
